Track Name,Album,Popularity,Duration (min),Explicit,Spotify URL
Tera Chehra,Sanam Teri Kasam (Original Motion Picture Soundtrack) [Deluxe Edition],75,4.57,False,https://open.spotify.com/track/2Ul0NiluAcBWG6BJBl40sT
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",80,4.75,False,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
"Sajni (From ""Laapataa Ladies"")","Sajni (From ""Laapataa Ladies"")",80,2.83,False,https://open.spotify.com/track/5zCnGtCl5Ac5zlFHXaZmhy
Apna Bana Le,Bhediya (Original Motion Picture Soundtrack),76,4.36,False,https://open.spotify.com/track/1hA697u7e1jX2XM8sWA6Uy
"Satranga (From ""ANIMAL"")","Satranga (From ""ANIMAL"")",79,4.52,False,https://open.spotify.com/track/3yHyiUDJdz02FZ6jfUbsmY
"Tu Hain Toh Main Hoon (From ""Sky Force"")","Tu Hain Toh Main Hoon (From ""Sky Force"")",79,4.13,False,https://open.spotify.com/track/4Lo6I7kkHWgAVRmdILLhig
"Agar Tum Saath Ho (From ""Tamasha"")",Love Wali Feeling: Valentine Special,43,5.68,False,https://open.spotify.com/track/6kYoY0PhBelP64UMnhsEZx
"Humdard (From ""Ek Villain"")",Ultimate Love Songs - Arijit Singh,77,4.34,False,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
Tum Hi Ho,Aashiqui 2,78,4.37,False,https://open.spotify.com/track/56zZ48jdyY2oDXHVnwg5Di
"Tainu Khabar Nahi - From ""Munjya""","Tainu Khabar Nahi (From ""Munjya"")",77,3.14,False,https://open.spotify.com/track/5npFBWhVs3VVlc0nY5xQMA
